coachID,year,championship,win_ratio,post_win_ratio,COTY
adamsmi01w,5,0,0.5,0.3333,0
adubari99w,1,0,0.625,0.5714,0
adubari99w,2,0,0.6562,0.5,0
adubari99w,3,0,0.5625,0.5,0
adubari99w,4,0,0.4706,0.0,0
adubari99w,5,0,0.4375,0.0,0
adubari99w,6,0,0.4706,0.0,0
adubari99w,7,0,0.5294,0.0,0
adubari99w,8,0,0.0,0.0,0
aglerbr99w,1,0,0.4688,0.0,0
aglerbr99w,2,0,0.375,0.0,0
aglerbr99w,3,0,0.3158,0.0,0
aglerbr99w,9,0,0.6471,0.3333,0
aglerbr99w,10,0,0.5882,0.3333,0
allenso99w,1,0,0.6562,0.0,0
allenso99w,2,0,0.5,0.0,0
bibbyhe01w,6,0,0.4643,0.0,0
boguemu01w,6,0,0.3,0.0,0
boguemu01w,7,0,0.3235,0.0,0
bouceje01w,8,0,0.5588,0.3333,0
bouceje01w,9,0,0.5294,0.3333,0
bouceje01w,10,0,0.2308,0.0,0
brownde01w,3,0,0.5,0.0,0
brownde01w,5,0,0.2308,0.0,0
bryanjo01w,6,0,0.6667,0.0,0
bryanjo01w,7,0,0.7353,0.4,0
chancva99w,1,1,0.8438,1.0,0
chancva99w,2,0,0.5938,0.0,0
chancva99w,3,0,0.75,0.3333,0
chancva99w,4,0,0.5882,0.3333,0
chancva99w,5,0,0.3824,0.0,0
chancva99w,6,0,0.5588,0.4,0
chancva99w,7,0,0.5294,0.0,0
coopecy01w,2,0,0.4062,0.0,0
coopecy01w,3,0,0.6,0.0,0
coopemi01w,1,0,0.875,0.5,1
coopemi01w,2,1,0.875,0.8571,0
coopemi01w,3,1,0.7812,1.0,0
coopemi01w,4,0,0.7059,0.5556,0
coopemi01w,5,0,0.7,0.0,0
coopemi01w,8,0,0.2941,0.0,0
coopemi01w,9,0,0.5882,0.5,0
coopemi01w,10,0,0.5294,0.5,0
cowenda01w,7,0,0.1471,0.0,0
coylepa99w,5,0,0.6111,0.4,0
coylepa99w,6,0,0.5294,0.0,0
coylepa99w,7,0,0.3235,0.0,0
coylepa99w,8,0,0.4706,0.3333,0
coylepa99w,9,0,0.5588,0.5,0
coylepa99w,10,0,0.3529,0.0,0
dailesh99w,4,0,0.5,0.0,0
dailesh99w,5,0,0.375,0.0,0
darscna99w,1,0,0.45,0.0,0
donovan99w,1,0,0.2812,0.0,0
donovan99w,2,0,0.5625,0.5,0
donovan99w,3,0,0.5625,0.0,0
donovan99w,4,0,0.5294,0.0,0
donovan99w,5,1,0.5882,0.75,0
donovan99w,6,0,0.5882,0.3333,0
donovan99w,7,0,0.5294,0.3333,0
donovan99w,8,0,0.5,0.0,0
donovan99w,10,0,0.4118,0.0,0
dunnli99wc,1,0,0.1875,0.0,0
dunnli99wc,2,0,0.3125,0.0,0
dunnli99wc,3,0,0.5312,0.0,0
dunnli99wc,9,0,0.5,0.3333,0
dunnli99wc,10,0,0.6471,0.6,0
dunntr01wc,1,0,0.25,0.0,0
fortnne99w,2,0,0.3125,0.0,0
fortnne99w,3,0,0.5,0.3333,0
fortnne99w,4,0,0.4706,0.0,0
gaineco01w,9,0,0.4706,0.0,0
gaineco01w,10,1,0.6765,0.6364,0
gilloje01w,10,0,0.4118,0.0,0
grafca99wc,5,0,0.5,0.0,0
grafca99wc,6,0,0.4706,0.0,0
hargrli99w,1,0,0.3125,0.0,0
hargrli99w,2,0,0.3438,0.0,0
hargrli99w,3,0,0.5,0.0,0
harveca99w,2,0,0.7368,0.0,0
harveca99w,3,0,0.625,0.4,0
harveca99w,4,0,0.2727,0.0,0
hugheda99w,1,0,0.5312,0.5,0
hugheda99w,2,0,0.6875,0.3333,1
hugheda99w,3,0,0.3125,0.0,0
hugheda99w,4,0,0.5,0.3333,0
hugheda99w,6,0,0.2059,0.0,0
hugheda99w,7,0,0.3824,0.0,0
hugheda99w,8,0,0.5882,0.4,1
hugheda99w,9,0,0.7059,0.4444,0
hugheda99w,10,0,0.4412,0.3333,0
jenkica99w,7,0,0.0909,0.0,0
kenlaje99w,9,0,0.1667,0.0,0
keyst99wc,9,0,0.3529,0.0,0
keyst99wc,10,0,0.4706,0.0,0
laceytr99w,4,0,0.5294,0.0,0
laceytr99w,5,0,0.4706,0.0,0
laceytr99w,6,0,0.125,0.0,0
laimbbi01w,3,0,0.4091,0.0,0
laimbbi01w,4,1,0.7353,0.75,1
laimbbi01w,5,0,0.5,0.3333,0
laimbbi01w,6,0,0.4706,0.0,0
laimbbi01w,7,1,0.6765,0.7,0
laimbbi01w,8,0,0.7059,0.5455,0
laimbbi01w,9,1,0.6471,0.7778,0
laimbbi01w,10,0,0.3333,0.0,0
liebena01w,1,0,0.4375,0.0,0
maherto99w,2,0,0.3125,0.0,0
mahorri01w,10,0,0.5484,0.6,0
mcconsu01w,4,0,0.5294,0.3333,0
mcconsu01w,5,0,0.5294,0.0,1
mcconsu01w,6,0,0.4118,0.0,0
mcconsu01w,7,0,0.3913,0.0,0
mchugma99w,2,0,0.7,0.6,0
mchugma99w,3,0,0.4375,0.0,0
mchugma99w,4,0,0.3889,0.0,0
meadoma99w,9,0,0.1176,0.0,0
meadoma99w,10,0,0.5294,0.0,1
millech99w,1,0,0.625,0.0,0
overtbo99w,8,0,0.4118,0.0,0
peckca99wc,1,0,0.5,0.3333,0
peckca99wc,2,0,0.4062,0.0,0
plankju99w,10,0,0.4706,0.0,0
rollitr01w,8,0,0.5333,0.0,0
rollitr01w,9,0,0.3636,0.0,0
rothsro99w,1,0,0.4062,0.0,0
rothsro99w,2,0,0.625,0.3333,0
rothsro99w,3,0,0.4688,0.0,0
sharpli99w,3,0,0.2273,0.0,0
shumajo01w,4,0,0.2353,0.0,0
stanlma99w,3,0,0.5312,0.6,1
stanlma99w,4,0,0.2647,0.0,0
thibami99w,4,0,0.5294,0.5,0
thibami99w,5,0,0.5294,0.625,0
thibami99w,6,0,0.7647,0.625,0
thibami99w,7,0,0.7647,0.6,1
thibami99w,8,0,0.5294,0.3333,0
thibami99w,9,0,0.6176,0.3333,1
thibami99w,10,0,0.4706,0.0,0
thompka99w,5,0,0.7857,0.3333,0
thompka99w,8,0,0.3824,0.0,0
thompka99w,9,0,0.5,0.0,0
vandehe99w,3,0,0.3077,0.0,0
walkeda01w,1,0,0.4167,0.0,0
weisery99w,5,0,0.7857,0.3333,0
westhpa99w,7,0,0.5294,0.0,0
westhpa99w,8,1,0.6765,0.7778,0
whisejo99w,4,0,0.75,0.5,0
whisejo99w,5,0,0.5294,0.5,0
whisejo99w,6,1,0.7353,0.875,1
whisejo99w,7,0,0.6176,0.6667,0
whisejo99w,10,0,0.4286,0.0,0
willifr99w,1,0,0.5625,0.0,0
willifr99w,2,0,0.3846,0.0,0
willigr99w,2,0,0.3125,0.0,0
willigr99w,3,0,0.0,0.0,0
wintebr01w,5,0,0.4412,0.0,0
wintebr01w,6,0,0.6176,0.5,0
wintebr01w,7,0,0.6176,0.0,0
wintebr01w,8,0,0.6176,0.5,0
zierddo99w,8,0,0.2941,0.0,0
zierddo99w,9,0,0.4706,0.0,0
